incoming link	outcoming link	max alllowed size of queue	saturation flow	type
6	1	-1	.47	1
6	3	-1	.47	0
6	7	-1	.44	0
6	5	-1	.44	0
2	3	-1	.47	1
2	7	-1	.47	0
2	5	-1	.44	0
2	1	-1	.44	0
8	5	-1	.47	1
8	1	-1	.47	0
8	3	-1	.44	0
8	7	-1	.44	0
4	7	-1	.47	1
4	5	-1	.47	0
4	1	-1	.44	0
4	3	-1	.44	0
7	9	-1	.44	0
7	11	-1	.47	0
7	8	-1	.44	0
10	8	-1	.47	1
10	11	-1	.44	0
10	9	-1	.44	0
12	9	-1	.47	1
12	8	-1	.47	0
12	11	-1	.44	0
11	13	-1	.44	0
11	15	-1	.47	0
11	12	-1	.44	0
14	12	-1	.47	1
14	15	-1	.44	0
14	13	-1	.44	0
16	13	-1	.47	1
16	12	-1	.47	0
16	15	-1	.44	0
15	17	-1	.47	1
15	21	-1	.47	0
15	19	-1	.44	0
15	16	-1	.44	0
18	21	-1	.47	1
18	19	-1	.47	0
18	16	-1	.44	0
18	17	-1	.44	0
22	19	-1	.47	1
22	16	-1	.47	0
22	17	-1	.44	0
22	21	-1	.44	0
20	16	-1	.47	1
20	17	-1	.47	0
20	21	-1	.44	0
20	19	-1	.44	0
21	23	-1	.47	1
21	27	-1	.47	0
21	25	-1	.44	0
21	22	-1	.44	0
24	27	-1	.47	1
24	25	-1	.47	0
24	22	-1	.44	0
24	23	-1	.44	0
28	25	-1	.47	1
28	22	-1	.47	0
28	23	-1	.44	0
28	27	-1	.44	0
26	22	-1	.47	1
26	23	-1	.47	0
26	27	-1	.44	0
26	25	-1	.44	0
27	29	-1	.44	0
27	31	-1	.47	0
27	28	-1	.44	0
30	28	-1	.47	1
30	31	-1	.44	0
30	29	-1	.44	0
32	29	-1	.47	1
32	28	-1	.47	0
32	31	-1	.44	0
31	33	-1	.47	1
31	37	-1	.47	0
31	35	-1	.44	0
31	32	-1	.44	0
34	37	-1	.47	1
34	35	-1	.47	0
34	32	-1	.44	0
34	33	-1	.44	0
38	35	-1	.47	1
38	32	-1	.47	0
38	33	-1	.44	0
38	37	-1	.44	0
36	32	-1	.47	1
36	33	-1	.47	0
36	37	-1	.44	0
36	35	-1	.44	0
37	39	-1	.47	1
37	43	-1	.47	0
37	41	-1	.44	0
37	38	-1	.44	0
40	43	-1	.47	1
40	41	-1	.47	0
40	38	-1	.44	0
40	39	-1	.44	0
44	41	-1	.47	1
44	38	-1	.47	0
44	39	-1	.44	0
44	43	-1	.44	0
42	38	-1	.47	1
42	39	-1	.47	0
42	43	-1	.44	0
42	41	-1	.44	0
43	45	-1	.47	1
43	49	-1	.47	0
43	47	-1	.44	0
43	44	-1	.44	0
46	49	-1	.47	1
46	47	-1	.47	0
46	44	-1	.44	0
46	45	-1	.44	0
50	47	-1	.47	1
50	44	-1	.47	0
50	45	-1	.44	0
50	49	-1	.44	0
48	44	-1	.47	1
48	45	-1	.47	0
48	49	-1	.44	0
48	47	-1	.44	0
49	53	-1	.47	1
49	51	-1	.47	0
49	55	-1	.44	0
49	50	-1	.44	0
54	51	-1	.47	1
54	55	-1	.47	0
54	50	-1	.44	0
54	53	-1	.44	0
52	55	-1	.47	1
52	50	-1	.47	0
52	53	-1	.44	0
52	51	-1	.44	0
56	50	-1	.47	1
56	53	-1	.47	0
56	51	-1	.44	0
56	55	-1	.44	0
