incoming link	outcoming link	prob
6	1	0.1420613
6	3	0.7520891
6	7	0.1058496
6	5	0
2	3	0.0628394
2	7	0.8494957
2	5	0.0876649
2	1	0
8	5	0.1192434
8	1	0.7771382
8	3	0.1036184
8	7	0
4	7	0.1374527
4	5	0.8625473
4	1	0
4	3	0
7	9	0.0892704
7	11	0.9107296
7	8	0
10	8	0.7688442
10	11	0.2311558
10	9	0
12	9	0.0690909
12	8	0.9309091
12	11	0
11	13	0.0500759
11	15	0.9499241
11	12	0
14	12	0.5479452
14	15	0.4520548
14	13	0
16	13	0.0436681
16	12	0.9563319
16	15	0
15	17	0.0641297
15	21	0.8957012
15	19	0.0401691
15	16	0
18	21	0.2063107
18	19	0.6189320
18	16	0.1747573
18	17	0
22	19	0.0443996
22	16	0.8254289
22	17	0.1301715
22	21	0
20	16	0.0493359
20	17	0.7950664
20	21	0.1555977
20	19	0
21	23	0.0319889
21	27	0.9179416
21	25	0.0500695
21	22	0
24	27	0.2659574
24	25	0.3989362
24	22	0.3351064
24	23	0
28	25	0.0558036
28	22	0.8973214
28	23	0.0468750
28	27	0
26	22	0.3333333
26	23	0.4133334
26	27	0.2533333
26	25	0
27	29	0.0500736
27	31	0.9499264
27	28	0
30	28	0.5827815
30	31	0.4172185
30	29	0
32	29	0.0601504
32	28	0.9398496
32	31      0
31	33	0.1125880
31	37	0.8123534
31	35	0.0750586
31	32	0
34	37	0.1573107
34	35	0.7695823
34	32	0.0731070
34	33	0
38	35	0.1600000
38	32	0.7308108
38	33	0.1091892
38	37	0
36	32	0.1065802
36	33	0.8192771
36	37	0.0741427
36	35	0
37	39	0.0302343
37	43	0.9213908
37	41	0.0483749
37	38	0
40	43	0.4680851
40	41	0.3297872
40	38	0.2021277
40	39	0
44	41	0.0548847
44	38	0.8792536
44	39	0.0658617
44	43	0
42	38	0.2000000
42	39	0.4000000
42	43	0.4000000
42	41	0
43	45	0.0780287
43	49	0.8761123
43	47	0.0458590
43	44	0
46	49	0.3327526
46	47	0.4843206
46	44	0.1829268
46	45	0
50	47	0.0420712
50	44	0.8457389
50	45	0.1121899
50	49	0
48	44	0.0380623
48	45	0.8460207
48	49	0.1159170
48	47	0
49	53	0.0489510
49	51	0.8776224
49	55	0.0734266
49	50	0
54	51	0.2692308
54	55	0.5897436
54	50	0.1410256
54	53	0
52	55	0.1151832
52	50	0.8062828
52	53	0.0785340
52	51	0
56	50	0.2080537
56	53	0.5100671
56	51	0.2818792
56	55	0
