incoming link	outcoming link	cum prob
6	1	0.1420613
6	3	0.8941504
6	7	1
6	5	1
2	3	0.0628394
2	7	0.9123351
2	5	1
2	1	1
8	5	0.1192434
8	1	0.8963816
8	3	1
8	7	1
4	7	0.1374527
4	5	1
4	1	1
4	3	1
7	9	0.0892704
7	11	1
7	8	1
10	8	0.7688442
10	11	1
10	9	1
12	9	0.0690909
12	8	1
12	11	1
11	13	0.0500759
11	15	1
11	12	1
14	12	0.5479452
14	15	1
14	13	1
16	13	0.0436681
16	12	1
16	15	1
15	17	0.0641297
15	21	0.9598309
15	19	1
15	16	1
18	21	0.2063107
18	19	0.8252427
18	16	1
18	17	1
22	19	0.0443996
22	16	0.8698285
22	17	1
22	21	1
20	16	0.0493359
20	17	0.8444023
20	21	1
20	19	1
21	23	0.0319889
21	27	0.9499305
21	25	1
21	22	1
24	27	0.2659574
24	25	0.6648936
24	22	1
24	23	1
28	25	0.0558036
28	22	0.9531250
28	23	1
28	27	1
26	22	0.3333333
26	23	0.7466667
26	27	1
26	25	1
27	29	0.0500736
27	31	1
27	28	1
30	28	0.5827815
30	31	1
30	29	1
32	29	0.0601504
32	28	1
32	31      1
31	33	0.1125880
31	37	0.9249414
31	35	1
31	32	1
34	37	0.1573107
34	35	0.9268930
34	32	1
34	33	1
38	35	0.1600000
38	32	0.8908108
38	33	1
38	37	1
36	32	0.1065802
36	33	0.9258573
36	37	1
36	35	1
37	39	0.0302343
37	43	0.9516251
37	41	1
37	38	1
40	43	0.4680851
40	41	0.7978723
40	38	1
40	39	1
44	41	0.0548847
44	38	0.9341383
44	39	1
44	43	1
42	38	0.2000000
42	39	0.6000000
42	43	1
42	41	1
43	45	0.0780287
43	49	0.9541410
43	47	1
43	44	1
46	49	0.3327526
46	47	0.8170732
46	44	1
46	45	1
50	47	0.0420712
50	44	0.8878101
50	45	1
50	49	1
48	44	0.0380623
48	45	0.8840830
48	49	1
48	47	1
49	53	0.0489510
49	51	0.9265734
49	55	1
49	50	1
54	51	0.2692308
54	55	0.8589744
54	50	1
54	53	1
52	55	0.1151832
52	50	0.9214660
52	53	1
52	51	1
56	50	0.2080537
56	53	0.7181208
56	51	1
56	55	1
